type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Right Front Fender,91,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Left Front Fender,92,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Right Side Cover,87,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Left Side Cover,88,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Right Rear Fender,89,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Left Rear Fender,90,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Left Rear Fender,90,Designer Added Icon 1,,669.4538672785504,195.44935354121506,20,0,4,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Right Rear Fender,89,Designer Added Icon 1,,1262.7451327214496,195.44935354121506,20,0,4,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Left Side Cover,88,Designer Added Icon 1,,1071.0808717483408,317.9090544203502,13.39355931245729,27,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Left Side Cover,88,User Number,,1108.5422780374392,720.6191720281573,,24,6,White,,,,,,,,,,,,1,left,261,Bold Italic 11,1,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Right Side Cover,87,Designer Added Icon 1,,602.4911282516591,317.9090544203502,13.39355931245729,-27,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Right Side Cover,87,User Number,,565.0297219625606,720.6191720281573,,-24,6,White,,,,,,,,,,,,1,left,261,Bold Italic 11,1,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Left Front Fender,92,Designer Added Icon 1,,953.5249466603462,242.3594725597843,10.299817484790909,16,3,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,,Right Front Fender,91,Designer Added Icon 1,,953.6200533396537,242.3594725597843,10.299817484790909,-16,3,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Rear Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Rear Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Rear Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Rear Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Rear Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Right Front Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI Auto. 4x4 EPS (Green) 2011-2014,X,Left Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
